,News,Compound Score,Tweets Ago
0,BBC,-0.8074,1
1,BBC,0.0,2
2,BBC,0.0,3
3,BBC,0.4404,4
4,BBC,0.3612,5
5,BBC,0.8625,6
6,BBC,0.6124,7
7,BBC,0.0,8
8,BBC,-0.1027,9
9,BBC,0.1779,10
10,BBC,-0.2732,11
11,BBC,0.8555,12
12,BBC,0.743,13
13,BBC,0.3818,14
14,BBC,0.7414,15
15,BBC,-0.6705,16
16,BBC,0.5994,17
17,BBC,0.5719,18
18,BBC,0.0,19
19,BBC,0.0,20
20,BBC,-0.8074,21
21,BBC,0.0,22
22,BBC,0.0,23
23,BBC,0.4404,24
24,BBC,0.3612,25
25,BBC,0.8625,26
26,BBC,0.6124,27
27,BBC,0.0,28
28,BBC,-0.1027,29
29,BBC,0.1779,30
30,BBC,-0.2732,31
31,BBC,0.8555,32
32,BBC,0.743,33
33,BBC,0.3818,34
34,BBC,0.7414,35
35,BBC,-0.6705,36
36,BBC,0.5994,37
37,BBC,0.5719,38
38,BBC,0.0,39
39,BBC,0.0,40
40,BBC,-0.5209,41
41,BBC,0.0,42
42,BBC,-0.6124,43
43,BBC,0.4215,44
44,BBC,-0.4588,45
45,BBC,0.0,46
46,BBC,0.1531,47
47,BBC,-0.25,48
48,BBC,0.4404,49
49,BBC,0.0,50
50,BBC,0.1759,51
51,BBC,0.0,52
52,BBC,0.4939,53
53,BBC,-0.2263,54
54,BBC,-0.5994,55
55,BBC,0.4939,56
56,BBC,0.0,57
57,BBC,0.5411,58
58,BBC,0.4404,59
59,BBC,0.0,60
60,BBC,0.0,61
61,BBC,0.7299,62
62,BBC,0.2732,63
63,BBC,-0.5574,64
64,BBC,0.0,65
65,BBC,-0.6124,66
66,BBC,0.0,67
67,BBC,0.0,68
68,BBC,-0.802,69
69,BBC,0.4019,70
70,BBC,0.7096,71
71,BBC,-0.2732,72
72,BBC,0.5994,73
73,BBC,0.0,74
74,BBC,0.5719,75
75,BBC,0.0,76
76,BBC,0.6696,77
77,BBC,-0.6705,78
78,BBC,0.0,79
79,BBC,-0.7964,80
80,BBC,0.0,81
81,BBC,-0.6486,82
82,BBC,-0.128,83
83,BBC,0.0,84
84,BBC,0.7506,85
85,BBC,0.0,86
86,BBC,0.0,87
87,BBC,0.0,88
88,BBC,0.0,89
89,BBC,0.7456,90
90,BBC,0.128,91
91,BBC,-0.5574,92
92,BBC,0.7003,93
93,BBC,0.3818,94
94,BBC,-0.7351,95
95,BBC,0.0,96
96,BBC,0.7845,97
97,BBC,-0.875,98
98,BBC,-0.872,99
99,BBC,0.4753,100
100,CBS,-0.3612,1
101,CBS,0.0,2
102,CBS,-0.6808,3
103,CBS,0.5023,4
104,CBS,-0.3724,5
105,CBS,0.3612,6
106,CBS,0.6124,7
107,CBS,0.7003,8
108,CBS,0.3612,9
109,CBS,0.4199,10
110,CBS,0.0,11
111,CBS,-0.3875,12
112,CBS,0.0,13
113,CBS,0.7906,14
114,CBS,0.4939,15
115,CBS,0.6956,16
116,CBS,0.8858,17
117,CBS,0.0,18
118,CBS,0.1622,19
119,CBS,0.0,20
120,CBS,-0.3612,21
121,CBS,0.0,22
122,CBS,-0.6808,23
123,CBS,0.5023,24
124,CBS,-0.3724,25
125,CBS,0.3612,26
126,CBS,0.6124,27
127,CBS,0.7003,28
128,CBS,0.3612,29
129,CBS,0.4199,30
130,CBS,0.0,31
131,CBS,-0.3875,32
132,CBS,0.0,33
133,CBS,0.7906,34
134,CBS,0.4939,35
135,CBS,0.6956,36
136,CBS,0.8858,37
137,CBS,0.0,38
138,CBS,0.1622,39
139,CBS,0.0,40
140,CBS,0.3182,41
141,CBS,0.765,42
142,CBS,0.0,43
143,CBS,0.0,44
144,CBS,0.296,45
145,CBS,-0.2263,46
146,CBS,0.6124,47
147,CBS,0.0,48
148,CBS,0.0,49
149,CBS,0.0,50
150,CBS,0.0,51
151,CBS,0.0,52
152,CBS,0.0,53
153,CBS,0.0,54
154,CBS,0.0,55
155,CBS,-0.34,56
156,CBS,0.0,57
157,CBS,0.0,58
158,CBS,0.1139,59
159,CBS,0.6249,60
160,CBS,0.0,61
161,CBS,-0.2714,62
162,CBS,-0.2263,63
163,CBS,0.0,64
164,CBS,0.7901,65
165,CBS,0.0,66
166,CBS,0.0,67
167,CBS,0.0,68
168,CBS,-0.2263,69
169,CBS,0.0,70
170,CBS,0.296,71
171,CBS,-0.1531,72
172,CBS,0.296,73
173,CBS,0.7896,74
174,CBS,0.0,75
175,CBS,-0.0531,76
176,CBS,0.6486,77
177,CBS,0.9642,78
178,CBS,0.0,79
179,CBS,0.3612,80
180,CBS,-0.2263,81
181,CBS,0.0,82
182,CBS,-0.4322,83
183,CBS,-0.2481,84
184,CBS,0.0,85
185,CBS,0.0,86
186,CBS,0.4753,87
187,CBS,0.0,88
188,CBS,-0.2263,89
189,CBS,0.6705,90
190,CBS,0.4215,91
191,CBS,0.0,92
192,CBS,-0.5411,93
193,CBS,0.0,94
194,CBS,-0.296,95
195,CBS,0.4753,96
196,CBS,0.0,97
197,CBS,0.3612,98
198,CBS,0.6908,99
199,CBS,0.4215,100
200,CNN,0.2023,1
201,CNN,0.0,2
202,CNN,0.6908,3
203,CNN,-0.34,4
204,CNN,-0.1531,5
205,CNN,0.7906,6
206,CNN,0.0,7
207,CNN,0.7184,8
208,CNN,0.4404,9
209,CNN,0.508,10
210,CNN,0.3365,11
211,CNN,0.743,12
212,CNN,-0.5859,13
213,CNN,0.4019,14
214,CNN,0.0,15
215,CNN,0.5574,16
216,CNN,-0.4767,17
217,CNN,0.0,18
218,CNN,0.5267,19
219,CNN,0.0,20
220,CNN,0.2023,21
221,CNN,0.0,22
222,CNN,0.6908,23
223,CNN,-0.34,24
224,CNN,-0.1531,25
225,CNN,0.7906,26
226,CNN,0.0,27
